Item Name,Manufacturer,Supplier,Rack ID,Packing,Batch,Expiry Date,MRP,Quantity,Invoice Date,Invoice Number
ELIBOL FORTE TAB,ELITE,AJANTHA AGENCIES,E1,10,127,2027-01-01,84.0,65,2026-04-29,237
LORALITE-1 TAB,ELITE PH,AJANTHA AGENCIES,IC2,10,165,2027-05-01,25.2,37,2025-01-03,2203
R-DON T TAB,ELITE,AJANTHA AGENCIES,R6,10,212,2027-07-01,45.0,20,2024-11-13,1781
MEMPEZIL-5 TAB,ELITE PH,AJANTHA AGENCIES,M2,10,113,2027-09-01,117.0,58,2025-08-06,984
MIRTALITE-7.5 TAB,ELITE,AJANTHA AGENCIES,M6,10,132,2027-10-01,54.0,18,2025-06-18,610
MIRTALITE-7.5 TAB,ELITE,AJANTHA AGENCIES,M6,10,132.,2027-10-01,50.63,30,2025-10-23,1581
PIXDEP CR 25 TAB,ELITE PH,AJANTHA AGENCIES,P2,10,131,2027-11-01,122.0,30,2026-04-29,237
QUETIC-50 TAB,ELITE PH,AJANTHA AGENCIES,-,10,149,2027-11-01,85.5,48,2025-08-06,984
ELCIT-DS TAB,ELITE,AJANTHA AGENCIES,-,10,108,2028-02-01,109.69,97,2025-10-23,1581
R-DON 1 TAB,ELITE,AJANTHA AGENCIES,R7,10,161,2028-02-01,31.5,7,2025-08-06,984
R-DON 1 TAB,ELITE,AJANTHA AGENCIES,R7,10,161.,2028-02-01,29.53,30,2025-10-23,1581
R-DON T TAB,ELITE,AJANTHA AGENCIES,R6,10,217,2028-03-01,45.0,30,2025-08-13,1040
R-DON PLUS TAB,ELITE,AJANTHA AGENCIES,R7,10,222,2028-03-01,67.5,4,2026-03-07,2690
PIM-800 TAB,ELITE PH,AJANTHA AGENCIES,P2,10,DT5014,2028-04-01,103.13,8,2026-03-07,2690
ELCIT-10 TAB,ELITE,AJANTHA AGENCIES,E1,10,190,2028-06-01,92.7,60,2025-10-23,1581
MIRTALITE-15 TAB,ELITE PH,AJANTHA AGENCIES,-,10,139,2028-06-01,74.25,10,2026-04-29,237
SERNE 25 TAB,ELITE,AJANTHA AGENCIES,S6,10,145.,2028-06-01,46.0,50,2026-03-07,2690
SERNE 25 TAB,ELITE,AJANTHA AGENCIES,S6,10,145,2028-06-01,49.5,30,2025-08-13,1040
PIM-800 TAB,ELITE PH,AJANTHA AGENCIES,P2,10,DT50294,2028-08-01,110.0,20,2026-04-29,237
NOZIM-1 TAB,ELITE PH,AJANTHA AGENCIES,1C,10,DT50293,2028-08-01,54.32,40,2026-03-07,2690
ELCIT-20 TAB,ELT,AJANTHA AGENCIES,E1,10,156,2028-10-01,143.0,8,2026-04-29,237
OZIM MD 2.5 TAB,ELIKEM,AJANTHA AGENCIES,O3,10,EPT1135,2028-10-01,26.25,50,2026-03-07,2690
OZIM MD 5 TAB,ELITE,AJANTHA AGENCIES,03,10,19939N,2028-10-01,42.1,50,2026-03-07,2690
SERNE 50 TAB,SLITE,AJANTHA AGENCIES,S6,10,168,2028-10-01,84.0,30,2026-03-07,2690
QUETIC-50 TAB,ELITE PH,AJANTHA AGENCIES,-,10,152,2028-10-01,80.1,50,2026-04-29,237
NOZIM-1 TAB,ELITE PH,AJANTHA AGENCIES,1C,10,DT50360,2028-10-01,50.9,4,2026-04-29,237
QUETIC-25 TAB,ELITE,AJANTHA AGENCIES,-,10,151,2028-11-01,50.5,50,2026-04-29,237
R-DON PLUS TAB,ELITE,AJANTHA AGENCIES,R7,10,226,2028-11-01,67.5,50,2026-04-29,237
CLOZEP 0.5 TAB,ELITE PH,AJANTHA AGENCIES,1C1,10,251,2028-12-01,35.4,60,2026-04-29,237
LORALITE-2 TAB,ELITE PH,AJANTHA AGENCIES,1C2,10,215,2028-12-01,29.5,60,2026-04-29,237
ACIDOSE-DS TAB,RENAUXE,ALFA AGENCIES,A9,15,T-240189,2025-12-01,83.0,4,2024-05-13,C4197
LEVIGRESS-500 TAB,LA,ALFA AGENCIES,-,10,RENOND223404,2026-05-01,142.0,2,2024-04-09,C900
GLUTATHIONE EFFERVECENT TAB 20,L-VA L-VA,ALIZSKY INNOVATUIN LLP,-,1,5009,2027-04-01,1299.0,1,2026-04-15,1315
NEBULIZER MECHINE,SG SH,ALIZSKY INNOVATUIN LLP,-,1,PORTABLE,2040-12-01,499.0,1,2026-04-15,1315
HIPRES-50 TAB,CIPLA GE,ARAFA DRUGS,H2,14,4BA0086,2025-12-01,25.0,14,2024-09-23,7141
COF-Q DX TAB,CIPLA,ARAFA DRUGS,-,10,CPL24462,2025-12-01,50.0,54,2025-01-20,12149
CREPE BANDAGE(COVER) 5CM,EVEREST,ARAFA DRUGS,-,1,DISHA-412,2026-01-01,50.0,1,2025-08-18,6443
CETRIVER-AM TAB,LEEFORD,ARAFA DRUGS,-,10,5093001,2026-01-01,40.0,15,2023-10-30,9006
TOBRA EYE/EAR DROPS 10ML,LABORATE,ARAFA DRUGS,-,1,OTBO-005,2026-02-01,40.0,2,2024-11-25,9810
CANDITOP POWDER 75G,LABORATE,ARAFA DRUGS,-,1,CNSP-002,2026-02-01,80.0,1,2024-10-14,8032
DEFLAROID-6 TAB,ELDER,ARAFA DRUGS,-,10,MZOAA17,2026-02-01,90.0,7,2025-02-17,13330
ACNETOIN GEL 15GM,LEEFORD,ARAFA DRUGS,-,1,DLPT4003,2026-02-01,90.0,2,2025-01-06,11558
CITALKA SYP 100ML,MACRO,ARAFA DRUGS,-,1,L4C071,2026-02-01,60.0,1,2024-05-06,1313
DOLOCOLD DS SYP 60ML,MICRO GN,ARAFA DRUGS,-,1,ML24025,2026-02-01,50.0,5,2024-07-22,4395
NEXOSCAB LOTION 100ML,LFDHCBLWB4001,ARAFA DRUGS,-,1,BN,2026-02-01,90.0,1,2024-07-08,3771
CEFIX-100 TAB,CIPLA,ARAFA DRUGS,GN,10,TAAC4005A,2026-03-01,90.0,5,2024-12-02,10100
ELOWAY HAIR REMOVAL CREAM 30G,LEEFORD,ARAFA DRUGS,-,1,BLGM4002,2026-03-01,60.0,2,2024-09-30,7420
FEMOZER TAP,LEEFORD,ARAFA DRUGS,GN,4,4003,2026-03-01,60.0,16,2025-09-01,7103
PROVIDINE-AM OINT 15GM,UNIVERSA,ARAFA DRUGS,-,1,D24011,2026-03-01,40.0,2,2024-08-13,5327
MEDISALIC CREAM,LABOR,ARAFA DRUGS,-,1,B02224082,2026-03-01,150.0,2,2024-12-16,10705
ITROMED OC CREAM 15GM,LEEFORD,ARAFA DRUGS,-,1,DLVE4005,2026-04-01,110.0,2,2024-09-23,7141
HYDROGEN PEROXIDE 450ML,ACCOR GN,ARAFA DRUGS,-,1,HP183,2026-05-01,50.0,2,2024-10-14,8032
ADULT BODY WIPES 10`S,CARENOW,ARAFA DRUGS,-,1,DYNA95,2026-05-01,150.0,2,2025-01-20,12149
VOMISHIELD ORAL 30ML,LEEFORD,ARAFA DRUGS,-,1,EULH24004,2026-06-01,40.0,3,2025-04-28,1174
ACLONAC-S TAB,PCI GN,ARAFA DRUGS,GN,10,ASS23007,2026-06-01,80.0,7,2024-02-19,13788
